sound_type;id;duration;dom_freq;min_freq;max_freq;pace;amplitude;comments
77;077_R_VILOAM_20140626_080000_007;0,071;3845;;;;;
78;078_L_GRANAM_20140620_120000_001;10;2717;;;;;
78;078_L_GRANAM_20140620_140000_001;10;2652;;;;;
78;078_L_GRANAM_20140620_170000_002;10;1513;;;;;
78;078_L_GRANAM_20140622_140000_002;10;2206;;;;;
78;078_R_GRANAM_20140626_160000_002;10;1718;;;;;
78;078_R_VILOAM_20140622_170000_002;10;1897;;;;;
79;079_L_GRANAM_20140622_150000_001;10;200;;;;;
79;079_R_GRANAM_20140704_170000_029;4,025;109;;;;;
79;079_R_MOIRAM_20140626_170000_008;6,207;225;;;;;
79;079_R_MOIRAM_20140626_170000_013;1,459;200;;;;;
79;079_R_MOIRAM_20140626_170000_016;2,909;300;;;;;
